text,label,agreement,lemmatized
thank stand ca parent child support vaccineswork,1.0,1.0,"['thank', 'stand', 'ca', 'parent', 'child', 'support', 'vaccineswork']"
dude idc disney land measles mean short line ride drive rn,0.0,1.0,"['dude', 'idc', 'disney', 'land', 'measles', 'mean', 'short', 'line', 'ride', 'drive', 'rn']"
beeftalk start calf vaccination via good article herd health,1.0,1.0,"['beeftalk', 'start', 'calf', 'vaccination', 'via', 'good', 'article', 'herd', 'health']"
care say probably get kid vaccinate,1.0,1.0,"['care', 'say', 'probably', 'get', 'kid', 'vaccinate']"
small study show pts lupus shingle vaccine need confirm large study,1.0,0.6666666666666666,"['small', 'study', 'show', 'pts', 'lupus', 'shingle', 'vaccine', 'need', 'confirm', 'large', 'study']"
cdc measles epidemic pose travel risk yes true zombie epidemic closing u,0.0,1.0,"['cdc', 'measles', 'epidemic', 'pose', 'travel', 'risk', 'yes', 'true', 'zombie', 'epidemic', 'closing', 'u']"
every time see vaccinate debate wonder one side argument even child,1.0,1.0,"['every', 'time', 'see', 'vaccinate', 'debate', 'wonder', 'one', 'side', 'argument', 'even', 'child']"
cdc lie hid data black boy uncreased risk develop autism mmr cdcwhistleblower help,-1.0,1.0,"['cdc', 'lie', 'hid', 'data', 'black', 'boy', 'uncreased', 'risk', 'develop', 'autism', 'mmr', 'cdcwhistleblower', 'help']"
vaccine cause autism,-1.0,1.0,"['vaccine', 'cause', 'autism']"
rarely see argument actually big deal,0.0,0.6666666666666666,"['rarely', 'see', 'argument', 'actually', 'big', 'deal']"
obsess w ebola follow outbreak world deadly disease vaccine cure amp death rate,1.0,0.6666666666666666,"['obsess', 'w', 'ebola', 'follow', 'outbreak', 'world', 'deadly', 'disease', 'vaccine', 'cure', 'amp', 'death', 'rate']"
joshthenewt suck game haha well people say mmr eh,0.0,1.0,"['joshthenewt', 'suck', 'game', 'haha', 'well', 'people', 'say', 'mmr', 'eh']"
shake hand pocahontas probably measles pocahontaslivetweet,0.0,0.6666666666666666,"['shake', 'hand', 'pocahontas', 'probably', 'measles', 'pocahontaslivetweet']"
part public health like part feed abandon baby bird vaccinate privilege kid,1.0,1.0,"['part', 'public', 'health', 'like', 'part', 'feed', 'abandon', 'baby', 'bird', 'vaccinate', 'privilege', 'kid']"
new study show vaccine associate news sky blue,1.0,1.0,"['new', 'study', 'show', 'vaccine', 'associate', 'news', 'sky', 'blue']"
repetitive could less increase asd even genetically high vaccinate,1.0,1.0,"['repetitive', 'could', 'less', 'increase', 'asd', 'even', 'genetically', 'high', 'vaccinate']"
glad get vaccinate health alert case meningitis report monmouth university,1.0,1.0,"['glad', 'get', 'vaccinate', 'health', 'alert', 'case', 'meningitis', 'report', 'monmouth', 'university']"
look like get measles,0.0,0.6666666666666666,"['look', 'like', 'get', 'measles']"
defense vaccine harmful american life unhealthy,-1.0,0.3333333333333333,"['defense', 'vaccine', 'harmful', 'american', 'life', 'unhealthy']"
like hello rank reset probably bad placement mmr go go lol,0.0,1.0,"['like', 'hello', 'rank', 'reset', 'probably', 'bad', 'placement', 'mmr', 'go', 'go', 'lol']"
amid measles outbreak vaccine teacher require much attention ongoing,0.0,0.6666666666666666,"['amid', 'measles', 'outbreak', 'vaccine', 'teacher', 'require', 'much', 'attention', 'ongoing']"
measles threat,0.0,0.6666666666666666,"['measles', 'threat']"
improve mood energy immunity cardio kit profit thru sandy donate,0.0,1.0,"['improve', 'mood', 'energy', 'immunity', 'cardio', 'kit', 'profit', 'thru', 'sandy', 'donate']"
mt new vaccination bill would end exemption religious via,0.0,1.0,"['mt', 'new', 'vaccination', 'bill', 'would', 'end', 'exemption', 'religious', 'via']"
autism immunization vaccinate,0.0,0.6666666666666666,"['autism', 'immunization', 'vaccinate']"
bart rider warn measles infection contagious passenger oakland cbs sf bay area rapid transit,0.0,1.0,"['bart', 'rider', 'warn', 'measles', 'infection', 'contagious', 'passenger', 'oakland', 'cbs', 'sf', 'bay', 'area', 'rapid', 'transit']"
measles case hit far year case measles report unit,0.0,0.6666666666666666,"['measles', 'case', 'hit', 'far', 'year', 'case', 'measles', 'report', 'unit']"
pull myxx nightlife stint perform live host supportyourown,0.0,1.0,"['pull', 'myxx', 'nightlife', 'stint', 'perform', 'live', 'host', 'supportyourown']"
cdc eye bird flu vaccine human though risk low federal official say wednesday take,0.0,0.6666666666666666,"['cdc', 'eye', 'bird', 'flu', 'vaccine', 'human', 'though', 'risk', 'low', 'federal', 'official', 'say', 'wednesday', 'take']"
involve fight measles vaccine preventable disease tenure track open joinus,1.0,0.6666666666666666,"['involve', 'fight', 'measles', 'vaccine', 'preventable', 'disease', 'tenure', 'track', 'open', 'joinus']"
vaccinate kid lol,-1.0,1.0,"['vaccinate', 'kid', 'lol']"
allege victim review immunity paperwork resume testimony fear blackmail prosecution,0.0,1.0,"['allege', 'victim', 'review', 'immunity', 'paperwork', 'resume', 'testimony', 'fear', 'blackmail', 'prosecution']"
thanks crystal clear lack evidence link mmr notice measlesoutbreak autism,1.0,0.6666666666666666,"['thanks', 'crystal', 'clear', 'lack', 'evidence', 'link', 'mmr', 'notice', 'measlesoutbreak', 'autism']"
give dvd vaccinate child bad,0.0,0.6666666666666666,"['give', 'dvd', 'vaccinate', 'child', 'bad']"
hey mixmasterrod follow madhatterdc mmr mixmasterrod upstairs lounge,0.0,1.0,"['hey', 'mixmasterrod', 'follow', 'madhatterdc', 'mmr', 'mixmasterrod', 'upstairs', 'lounge']"
seriously want child movement terrify,1.0,1.0,"['seriously', 'want', 'child', 'movement', 'terrify']"
epidemic enterovirus mumps measles drug resistant tb next treason illegalimmigration,0.0,1.0,"['epidemic', 'enterovirus', 'mumps', 'measles', 'drug', 'resistant', 'tb', 'next', 'treason', 'illegalimmigration']"
say go shit lol look like prove wrong rrr mmr baby,0.0,1.0,"['say', 'go', 'shit', 'lol', 'look', 'like', 'prove', 'wrong', 'rrr', 'mmr', 'baby']"
flu shot school boost vaccination rate offer flu shot elementary school could reduce number,0.0,0.6666666666666666,"['flu', 'shot', 'school', 'boost', 'vaccination', 'rate', 'offer', 'flu', 'shot', 'elementary', 'school', 'could', 'reduce', 'number']"
marin county school board side young leukemia patient vaccination gatebreakers,0.0,0.6666666666666666,"['marin', 'county', 'school', 'board', 'side', 'young', 'leukemia', 'patient', 'vaccination', 'gatebreakers']"
still run niggas til death dibiasimb mmr,0.0,1.0,"['still', 'run', 'niggas', 'til', 'death', 'dibiasimb', 'mmr']"
stick regular oh wait give autism,-1.0,0.6666666666666666,"['stick', 'regular', 'oh', 'wait', 'give', 'autism']"
people want control people fear weaken herd immunity anyone know mind control,1.0,1.0,"['people', 'want', 'control', 'people', 'fear', 'weaken', 'herd', 'immunity', 'anyone', 'know', 'mind', 'control']"
important vaccinate vaccineswork measles update say work,1.0,1.0,"['important', 'vaccinate', 'vaccineswork', 'measles', 'update', 'say', 'work']"
think ever understand people reason get vaccinate vaccinate explain,1.0,0.6666666666666666,"['think', 'ever', 'understand', 'people', 'reason', 'get', 'vaccinate', 'vaccinate', 'explain']"
cia vaccination campaign spy ops via harm protect medic status ruse linger,-1.0,0.6666666666666666,"['cia', 'vaccination', 'campaign', 'spy', 'ops', 'via', 'harm', 'protect', 'medic', 'status', 'ruse', 'linger']"
measles outbreak prompt vaccination debate political debate rage measles outbreak spread,0.0,1.0,"['measles', 'outbreak', 'prompt', 'vaccination', 'debate', 'political', 'debate', 'rage', 'measles', 'outbreak', 'spread']"
people need get child vaccinate bad disease come back,1.0,1.0,"['people', 'need', 'get', 'child', 'vaccinate', 'bad', 'disease', 'come', 'back']"
vaccine brain damage cover implode discuss cdcwhistleblower,-1.0,1.0,"['vaccine', 'brain', 'damage', 'cover', 'implode', 'discuss', 'cdcwhistleblower']"
vaccine childrens clinic,0.0,0.6666666666666666,"['vaccine', 'childrens', 'clinic']"
know get infected measles airborne transmission wtf,0.0,1.0,"['know', 'get', 'infected', 'measles', 'airborne', 'transmission', 'wtf']"
access fitchburg school limit amid measles scare read neighbor fitchburg,0.0,1.0,"['access', 'fitchburg', 'school', 'limit', 'amid', 'measles', 'scare', 'read', 'neighbor', 'fitchburg']"
deadly allergy joke deadly child vaccinate,1.0,1.0,"['deadly', 'allergy', 'joke', 'deadly', 'child', 'vaccinate']"
measles,0.0,0.6666666666666666,['measles']
topic make scar bring kid modern time start look private school mandate vaccine,1.0,1.0,"['topic', 'make', 'scar', 'bring', 'kid', 'modern', 'time', 'start', 'look', 'private', 'school', 'mandate', 'vaccine']"
gop stop blaming immigrant first ebola measles disease bring ancestor ainf,1.0,0.6666666666666666,"['gop', 'stop', 'blaming', 'immigrant', 'first', 'ebola', 'measles', 'disease', 'bring', 'ancestor', 'ainf']"
already cure measles,0.0,1.0,"['already', 'cure', 'measles']"
ca attend school unless vaccinate,0.0,1.0,"['ca', 'attend', 'school', 'unless', 'vaccinate']"
vaccinate child shitty end story,1.0,1.0,"['vaccinate', 'child', 'shitty', 'end', 'story']"
citizen kingdom god assignment diplomatic immunity fear man,0.0,1.0,"['citizen', 'kingdom', 'god', 'assignment', 'diplomatic', 'immunity', 'fear', 'man']"
top colorado doctor say adult worry measles get vaccination measles outbreak,1.0,1.0,"['top', 'colorado', 'doctor', 'say', 'adult', 'worry', 'measles', 'get', 'vaccination', 'measles', 'outbreak']"
nah idiot someone allow kid vaccinate,1.0,1.0,"['nah', 'idiot', 'someone', 'allow', 'kid', 'vaccinate']"
kid need late map show measles mortality vaccine,1.0,1.0,"['kid', 'need', 'late', 'map', 'show', 'measles', 'mortality', 'vaccine']"
measles fear spread nj amid suspected case,0.0,1.0,"['measles', 'fear', 'spread', 'nj', 'amid', 'suspected', 'case']"
baby vaccination get measles one early fuckwits chicago vaccinate ensuring problem,1.0,1.0,"['baby', 'vaccination', 'get', 'measles', 'one', 'early', 'fuckwits', 'chicago', 'vaccinate', 'ensuring', 'problem']"
love measles poster make spirit today,0.0,1.0,"['love', 'measles', 'poster', 'make', 'spirit', 'today']"
baseball coach santa monica high contract measles,0.0,1.0,"['baseball', 'coach', 'santa', 'monica', 'high', 'contract', 'measles']"
im sick hearing people vaccinate sick hearing people freedom insane dangerous thing,1.0,1.0,"['im', 'sick', 'hearing', 'people', 'vaccinate', 'sick', 'hearing', 'people', 'freedom', 'insane', 'dangerous', 'thing']"
one risky childrena vaccination go get school car,0.0,0.6666666666666666,"['one', 'risky', 'childrena', 'vaccination', 'go', 'get', 'school', 'car']"
odds kid measles use lab room,0.0,1.0,"['odds', 'kid', 'measles', 'use', 'lab', 'room']"
parent refuse get kid immunize charge reckless endangerment kid get another sick,1.0,1.0,"['parent', 'refuse', 'get', 'kid', 'immunize', 'charge', 'reckless', 'endangerment', 'kid', 'get', 'another', 'sick']"
rt vaccination measles medicaid expansion,0.0,1.0,"['rt', 'vaccination', 'measles', 'medicaid', 'expansion']"
center disease control year flu vaccine work health flu cure failure sick cdc really,-1.0,0.6666666666666666,"['center', 'disease', 'control', 'year', 'flu', 'vaccine', 'work', 'health', 'flu', 'cure', 'failure', 'sick', 'cdc', 'really']"
fought hard vaccinate yr ppl get hurt get smart,-1.0,0.6666666666666666,"['fought', 'hard', 'vaccinate', 'yr', 'ppl', 'get', 'hurt', 'get', 'smart']"
vaccinate people tarrant county measles case five denton co trace megachurch,1.0,0.6666666666666666,"['vaccinate', 'people', 'tarrant', 'county', 'measles', 'case', 'five', 'denton', 'co', 'trace', 'megachurch']"
new provide health insurance coverage immunization administer pharmacy,0.0,0.6666666666666666,"['new', 'provide', 'health', 'insurance', 'coverage', 'immunization', 'administer', 'pharmacy']"
new revise codifies schedule childhood lead screen along immunization wellness,0.0,0.6666666666666666,"['new', 'revise', 'codifies', 'schedule', 'childhood', 'lead', 'screen', 'along', 'immunization', 'wellness']"
friday immunity challenge walk safe time sure watch back,0.0,0.6666666666666666,"['friday', 'immunity', 'challenge', 'walk', 'safe', 'time', 'sure', 'watch', 'back']"
parent vaccinate childhood important,1.0,0.6666666666666666,"['parent', 'vaccinate', 'childhood', 'important']"
people complain live release tension increase immunity improve overall well good news,0.0,1.0,"['people', 'complain', 'live', 'release', 'tension', 'increase', 'immunity', 'improve', 'overall', 'well', 'good', 'news']"
austerity vaccine crisis parasite pandemic potential drain life kill slowly occupywallstreet,0.0,1.0,"['austerity', 'vaccine', 'crisis', 'parasite', 'pandemic', 'potential', 'drain', 'life', 'kill', 'slowly', 'occupywallstreet']"
compensation autism brain damage illness vaccine court via,0.0,0.6666666666666666,"['compensation', 'autism', 'brain', 'damage', 'illness', 'vaccine', 'court', 'via']"
seek bear see state ppl storytelling autism vaccineinjury,0.0,0.6666666666666666,"['seek', 'bear', 'see', 'state', 'ppl', 'storytelling', 'autism', 'vaccineinjury']"
conservative neurosurgeon ben carson say vaccine public health issue thing agree,-1.0,0.6666666666666666,"['conservative', 'neurosurgeon', 'ben', 'carson', 'say', 'vaccine', 'public', 'health', 'issue', 'thing', 'agree']"
measles case confirm plano isd school,0.0,1.0,"['measles', 'case', 'confirm', 'plano', 'isd', 'school']"
reason people think vaccine cause autism,1.0,1.0,"['reason', 'people', 'think', 'vaccine', 'cause', 'autism']"
newsingle smokendrink manymenrecords mmr studio,0.0,1.0,"['newsingle', 'smokendrink', 'manymenrecords', 'mmr', 'studio']"
bdnwz measles kiddie party thing gdnwz misinform arrogant parent year award,1.0,1.0,"['bdnwz', 'measles', 'kiddie', 'party', 'thing', 'gdnwz', 'misinform', 'arrogant', 'parent', 'year', 'award']"
ok good u say politics border wide open vaccine kill kid devaluation,-1.0,1.0,"['ok', 'good', 'u', 'say', 'politics', 'border', 'wide', 'open', 'vaccine', 'kill', 'kid', 'devaluation']"
news measles case four month england health jenny mccarthy visit lately,0.0,0.6666666666666666,"['news', 'measles', 'case', 'four', 'month', 'england', 'health', 'jenny', 'mccarthy', 'visit', 'lately']"
three baby cure hiv give vaccine birth via,0.0,0.6666666666666666,"['three', 'baby', 'cure', 'hiv', 'give', 'vaccine', 'birth', 'via']"
want shot autism juice mean measles vaccine thingsmydoctorsays,-1.0,1.0,"['want', 'shot', 'autism', 'juice', 'mean', 'measles', 'vaccine', 'thingsmydoctorsays']"
let use ebola step say vaccineswork flu kill also mmr polio,1.0,0.6666666666666666,"['let', 'use', 'ebola', 'step', 'say', 'vaccineswork', 'flu', 'kill', 'also', 'mmr', 'polio']"
child link,1.0,1.0,"['child', 'link']"
go get ryno middle school vaccination big shot tot ouachita parish health unit,1.0,1.0,"['go', 'get', 'ryno', 'middle', 'school', 'vaccination', 'big', 'shot', 'tot', 'ouachita', 'parish', 'health', 'unit']"
bring measles amp amp ebola shit baltimore,0.0,0.6666666666666666,"['bring', 'measles', 'amp', 'amp', 'ebola', 'shit', 'baltimore']"
vaccine truth,0.0,0.6666666666666666,"['vaccine', 'truth']"
hell think think baby immunity something,0.0,0.6666666666666666,"['hell', 'think', 'think', 'baby', 'immunity', 'something']"
measles may hit dammit,1.0,1.0,"['measles', 'may', 'hit', 'dammit']"
still feel please dont scar,1.0,0.6666666666666666,"['still', 'feel', 'please', 'dont', 'scar']"
schumer want measles vaccine accessible,1.0,1.0,"['schumer', 'want', 'measles', 'vaccine', 'accessible']"
yet way immunize give measles vac rare case cause brain damage believe cause autism,-1.0,0.6666666666666666,"['yet', 'way', 'immunize', 'give', 'measles', 'vac', 'rare', 'case', 'cause', 'brain', 'damage', 'believe', 'cause', 'autism']"
treat people obtain disease also provide vaccination reside area,1.0,1.0,"['treat', 'people', 'obtain', 'disease', 'also', 'provide', 'vaccination', 'reside', 'area']"
new bexar district attorney nico lahood cause autism brian chasnoff,-1.0,1.0,"['new', 'bexar', 'district', 'attorney', 'nico', 'lahood', 'cause', 'autism', 'brian', 'chasnoff']"
vaccine scare lead measles epidemic,0.0,1.0,"['vaccine', 'scare', 'lead', 'measles', 'epidemic']"
marketing message focus weak amp sick risk amp ca focus fact,1.0,0.6666666666666666,"['marketing', 'message', 'focus', 'weak', 'amp', 'sick', 'risk', 'amp', 'ca', 'focus', 'fact']"
article rted u choose get vaccinate ignorant even give whole cause autism,1.0,1.0,"['article', 'rted', 'u', 'choose', 'get', 'vaccinate', 'ignorant', 'even', 'give', 'whole', 'cause', 'autism']"
literally way mine could low blizzard bad mmr,0.0,1.0,"['literally', 'way', 'mine', 'could', 'low', 'blizzard', 'bad', 'mmr']"
hope get measles,0.0,1.0,"['hope', 'get', 'measles']"
last vaccine aurora health care occupational health,1.0,1.0,"['last', 'vaccine', 'aurora', 'health', 'care', 'occupational', 'health']"
kid night time watch parent douse everything little angel touch sanitizer prevent immunity,0.0,1.0,"['kid', 'night', 'time', 'watch', 'parent', 'douse', 'everything', 'little', 'angel', 'touch', 'sanitizer', 'prevent', 'immunity']"
vaccine injure tens thousand flushot,-1.0,1.0,"['vaccine', 'injure', 'tens', 'thousand', 'flushot']"
important vaccinate care baby pig,1.0,0.6666666666666666,"['important', 'vaccinate', 'care', 'baby', 'pig']"
editorial remove exemption vaccine requirement school entry michigan danger,0.0,1.0,"['editorial', 'remove', 'exemption', 'vaccine', 'requirement', 'school', 'entry', 'michigan', 'danger']"
even vaccine child still risk catch disease,0.0,0.6666666666666666,"['even', 'vaccine', 'child', 'still', 'risk', 'catch', 'disease']"
parent would longer able rely herd immunity protect child,1.0,1.0,"['parent', 'would', 'longer', 'able', 'rely', 'herd', 'immunity', 'protect', 'child']"
honestly believe pass new law start year need specific shot get school,-1.0,1.0,"['honestly', 'believe', 'pass', 'new', 'law', 'start', 'year', 'need', 'specific', 'shot', 'get', 'school']"
study kid find link mmr vaccine autism,1.0,1.0,"['study', 'kid', 'find', 'link', 'mmr', 'vaccine', 'autism']"
really mmr shot,-1.0,1.0,"['really', 'mmr', 'shot']"
need vaccine death far ebola guinea sierra alert,1.0,1.0,"['need', 'vaccine', 'death', 'far', 'ebola', 'guinea', 'sierra', 'alert']"
parent need get mmr booster shot claim vaccine cause autism proven,1.0,0.6666666666666666,"['parent', 'need', 'get', 'mmr', 'booster', 'shot', 'claim', 'vaccine', 'cause', 'autism', 'proven']"
pro safety make make educate consumer cdcwhistleblower cdcfraud mykidmatters vaccineinjuryisreal,-1.0,0.3333333333333333,"['pro', 'safety', 'make', 'make', 'educate', 'consumer', 'cdcwhistleblower', 'cdcfraud', 'mykidmatters', 'vaccineinjuryisreal']"
want immunity want scandal,0.0,1.0,"['want', 'immunity', 'want', 'scandal']"
great info today esp reemerging measles ty,0.0,0.6666666666666666,"['great', 'info', 'today', 'esp', 'reemerging', 'measles', 'ty']"
chicken pox kid vaccinate nasty itchy spot small scar little beauty,1.0,0.6666666666666666,"['chicken', 'pox', 'kid', 'vaccinate', 'nasty', 'itchy', 'spot', 'small', 'scar', 'little', 'beauty']"
understanding could get individual shot instead combo vaccine safer,-1.0,0.3333333333333333,"['understanding', 'could', 'get', 'individual', 'shot', 'instead', 'combo', 'vaccine', 'safer']"
immunity baby immunity,0.0,0.6666666666666666,"['immunity', 'baby', 'immunity']"
amp vaccine new social disease actually say mislabled,0.0,1.0,"['amp', 'vaccine', 'new', 'social', 'disease', 'actually', 'say', 'mislabled']"
finally hear jenny mccarthy son autism apologize dead kid get vaccine,1.0,0.6666666666666666,"['finally', 'hear', 'jenny', 'mccarthy', 'son', 'autism', 'apologize', 'dead', 'kid', 'get', 'vaccine']"
gate foundation pledge billion immunize poor child wowzers,1.0,0.6666666666666666,"['gate', 'foundation', 'pledge', 'billion', 'immunize', 'poor', 'child', 'wowzers']"
read fb comment measles articles great entertainment,0.0,1.0,"['read', 'fb', 'comment', 'measles', 'articles', 'great', 'entertainment']"
eric holder force send baby start school illegals immunization shot,1.0,0.6666666666666666,"['eric', 'holder', 'force', 'send', 'baby', 'start', 'school', 'illegals', 'immunization', 'shot']"
aid n qhpv vaccine reduces risk cost among old msm treat hgain,1.0,0.6666666666666666,"['aid', 'n', 'qhpv', 'vaccine', 'reduces', 'risk', 'cost', 'among', 'old', 'msm', 'treat', 'hgain']"
news talk measles wipe come back cuz dumbass ppl vaccinate kid,1.0,0.6666666666666666,"['news', 'talk', 'measles', 'wipe', 'come', 'back', 'cuz', 'dumbass', 'ppl', 'vaccinate', 'kid']"
tmlt also get flu vaccine know let rest school guinea pig sucker,-1.0,1.0,"['tmlt', 'also', 'get', 'flu', 'vaccine', 'know', 'let', 'rest', 'school', 'guinea', 'pig', 'sucker']"
mountain glorious day cherry blossom lunch pal outside drive bellevue get mmr yay,0.0,0.6666666666666666,"['mountain', 'glorious', 'day', 'cherry', 'blossom', 'lunch', 'pal', 'outside', 'drive', 'bellevue', 'get', 'mmr', 'yay']"
hm check wound may vaccines date may regardless bring vet,0.0,0.6666666666666666,"['hm', 'check', 'wound', 'may', 'vaccines', 'date', 'may', 'regardless', 'bring', 'vet']"
partial agreement measles case result law large number medium obfuscation,0.0,1.0,"['partial', 'agreement', 'measles', 'case', 'result', 'law', 'large', 'number', 'medium', 'obfuscation']"
heeeere dc confirm case measles,0.0,0.6666666666666666,"['heeeere', 'dc', 'confirm', 'case', 'measles']"
vaccinate kid,1.0,1.0,"['vaccinate', 'kid']"
nice discussion vaccine kidney transplant recipient nephpearls,0.0,1.0,"['nice', 'discussion', 'vaccine', 'kidney', 'transplant', 'recipient', 'nephpearls']"
last vaccinate damn swear god hear vaccination autism shit one time go kill,1.0,1.0,"['last', 'vaccinate', 'damn', 'swear', 'god', 'hear', 'vaccination', 'autism', 'shit', 'one', 'time', 'go', 'kill']"
wo say politically correct vaccinate kid get poliovirus idiot,1.0,1.0,"['wo', 'say', 'politically', 'correct', 'vaccinate', 'kid', 'get', 'poliovirus', 'idiot']"
omg day get drunk af pm wow mmr,0.0,1.0,"['omg', 'day', 'get', 'drunk', 'af', 'pm', 'wow', 'mmr']"
give adorable little asian kid piece chalk could draw chalkboard wait ate,0.0,0.6666666666666666,"['give', 'adorable', 'little', 'asian', 'kid', 'piece', 'chalk', 'could', 'draw', 'chalkboard', 'wait', 'ate']"
didnt get vaccinate amp survive smallpox measles mumps amp polio amp survive didnt yes amp survive,-1.0,0.6666666666666666,"['didnt', 'get', 'vaccinate', 'amp', 'survive', 'smallpox', 'measles', 'mumps', 'amp', 'polio', 'amp', 'survive', 'didnt', 'yes', 'amp', 'survive']"
njoying moment life mmr,0.0,1.0,"['njoying', 'moment', 'life', 'mmr']"
people vaccinate kid outbreak happen people think get autism educate,1.0,1.0,"['people', 'vaccinate', 'kid', 'outbreak', 'happen', 'people', 'think', 'get', 'autism', 'educate']"
vaccinate kid yesterday rt pediatric death occur get fluvaxstats,1.0,1.0,"['vaccinate', 'kid', 'yesterday', 'rt', 'pediatric', 'death', 'occur', 'get', 'fluvaxstats']"
measles outbreak vaccinate vaccinate,0.0,0.6666666666666666,"['measles', 'outbreak', 'vaccinate', 'vaccinate']"
stick science want measles back nowaydrjay,1.0,1.0,"['stick', 'science', 'want', 'measles', 'back', 'nowaydrjay']"
wonder many measles case walk around sure plenty sick,0.0,1.0,"['wonder', 'many', 'measles', 'case', 'walk', 'around', 'sure', 'plenty', 'sick']"
people vaccinate truth parroting word context even bless heart son,0.0,0.6666666666666666,"['people', 'vaccinate', 'truth', 'parroting', 'word', 'context', 'even', 'bless', 'heart', 'son']"
r double blind study show vaccine work,-1.0,1.0,"['r', 'double', 'blind', 'study', 'show', 'vaccine', 'work']"
yo mug nuff say mmr mixmasterrod follow photobomb picsoftheday,0.0,1.0,"['yo', 'mug', 'nuff', 'say', 'mmr', 'mixmasterrod', 'follow', 'photobomb', 'picsoftheday']"
measles case ventura county prompt vaccination advisory two visitor europe suspect fall,1.0,0.6666666666666666,"['measles', 'case', 'ventura', 'county', 'prompt', 'vaccination', 'advisory', 'two', 'visitor', 'europe', 'suspect', 'fall']"
never understand parent get kid,1.0,1.0,"['never', 'understand', 'parent', 'get', 'kid']"
come pray mmr marian,0.0,1.0,"['come', 'pray', 'mmr', 'marian']"
watch mmr truck hit bastereds,0.0,1.0,"['watch', 'mmr', 'truck', 'hit', 'bastereds']"
know cause autism know vaccine,1.0,1.0,"['know', 'cause', 'autism', 'know', 'vaccine']"
ask bump already shingle chicken pox,0.0,1.0,"['ask', 'bump', 'already', 'shingle', 'chicken', 'pox']"
frnw doubt immunity open lip truth lerner,0.0,1.0,"['frnw', 'doubt', 'immunity', 'open', 'lip', 'truth', 'lerner']"
injury amp death hpv vaccine article many simple google search,-1.0,1.0,"['injury', 'amp', 'death', 'hpv', 'vaccine', 'article', 'many', 'simple', 'google', 'search']"
increase report measles tb past five year,0.0,1.0,"['increase', 'report', 'measles', 'tb', 'past', 'five', 'year']"
baby die sicken bad vaccine south mexico mexico public health system suspend,0.0,0.6666666666666666,"['baby', 'die', 'sicken', 'bad', 'vaccine', 'south', 'mexico', 'mexico', 'public', 'health', 'system', 'suspend']"
mmr x db de igner,0.0,1.0,"['mmr', 'x', 'db', 'de', 'igner']"
say brooklyn biggie mogul present franchise liaison problem official video mmr,0.0,1.0,"['say', 'brooklyn', 'biggie', 'mogul', 'present', 'franchise', 'liaison', 'problem', 'official', 'video', 'mmr']"
